#Compound, index, wavelength, uv_intensity, s1_wavelength, s1_strength, reward,  deen, gap, mol_weight, logP, SA_score, TS depth,  wavelength_list, intensity_list, s1_wl_list, s1_strength_list ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC(F)(F)F,1303,92.14,0,767.27,0.0001,0.001900816,-0.567908392,3.6353896,88.003,1.4757,2.088790539,9,92.14,92.14,92.14,88.59,88.59,87.94,87.22,87.22,87.22,86.78,86.78,86.78,84.36,84.36,84.36,83.12,83.12,81.82,81.82,81.82,0,0,0,0,0,0,0,0,0,0.0139,0.0139,0.0139,0.0102,0.0102,0.0103,0,0,0,0,0,767.27,763.54,183.15,179.56,162.44,162.24,148.32,146.15,136.17,136.05,129.8,117.75,117.69,117.65,114.93,110.76,110.29,108.37,105.76,105.12,0.0001,0,0.4462,0,0.0052,0.0143,0.0222,0.0361,0.0001,0.0003,0.0002,0,0.0002,0,0.0902,0.0309,0.0416,0.0306,0.0001,0.0041, 
Nc1ncn[nH]1,267,198.01,0.0035,260.87,0.0013,0.033314983,-1.457365821,6.00193027,84.082,-0.6131,3.461795707,4,198.01,186.73,183.05,164.9,162.13,159.25,159.15,154.43,153.12,151.77,145.09,140.2,136.94,132.22,131.73,131.4,130.88,130.8,125.92,125.32,0.0035,0.1426,0,0.048,0.0049,0.0255,0.0009,0.0196,0.1401,0.0005,0.0007,0.0786,0.0005,0.0322,0.0664,0.0007,0.021,0.0341,0.0808,0.0001,260.87,210.44,199.52,190,180.85,172.1,171.42,165.71,163.38,155.48,155.36,153.11,149.72,148.21,143.53,140.65,138.06,134.86,132.77,131.84,0.0013,0.1248,0.0001,0.002,0.0044,0.0308,0.0204,0.0007,0.0457,0.0822,0,0.0009,0.0007,0.0086,0.1053,0.1397,0.0814,0.0015,0.0017,0.0004, 
Nc1ccncc1,1172,251.52,0,338.55,0,0.004506902,-2.156816239,5.06641609,94.117,0.6638,1.95105974,6,251.52,238.05,233.37,202.53,179.82,171.21,169.72,152.75,152.69,149.28,147.02,143.69,143.62,143.19,141.7,136.49,135.66,132.69,130.66,129.79,0,0.0266,0.0057,0.1331,0.1567,0.0001,0.4327,0,0.1865,0.0004,0.0059,0,0.1148,0,0.0055,0.2452,0.0126,0,0.0104,0.0002,338.55,264.69,261.97,205.59,184.48,180.13,171.44,164.62,153.67,150.98,150.75,149.79,146.53,144.58,143.86,143.22,134.89,132.85,130.67,130.15,0,0.0337,0.0026,0.0239,0.3905,0.0993,0.0001,0.2541,0,0.018,0.0172,0.0003,0.0074,0.4526,0,0.0053,0.0137,0,0.0612,0.0001, 
FC(F)(F)c1cocn1,234,207.39,0.0014,270.02,0.0002,0.016275095,-1.814280442,6.01281467,137.06,1.6934,3.313947238,4,207.39,182.86,172.22,169.84,148.47,146.76,142.83,136.98,135.67,134.2,134.15,132.27,129.88,128.48,127.54,126.95,123.68,123.49,121.43,120.78,0.0014,0.1028,0.0146,0.0188,0,0.3181,0.0018,0.0054,0.024,0.0005,0.0179,0.0117,0.0016,0.0039,0.0337,0.0012,0.0078,0.0038,0.0024,0.0022,270.02,201.07,200.06,180.35,160.98,158.02,156.89,152.46,151.25,143.37,142.39,140.27,139.18,133.49,132.14,131.02,129.71,129.11,128.28,126.98,0.0002,0.1059,0.0102,0.0076,0.0482,0.0005,0.0016,0.265,0.0019,0.0088,0.0048,0.0036,0.0502,0.0013,0.0001,0.0555,0.003,0.0019,0.0063,0.0031, 
C#CCNC(=O)c1ccc(C)o1,602,269.36,0.0009,269.36,0.0009,0.027413735,-3.571942329,5.55049978,163.176,0.95102,2.374450652,7,269.36,235.89,226.07,204.6,196.18,194.09,182.15,177.27,175.45,174.99,172.85,171,166.35,164.89,164,163.43,162.4,156.29,154.54,154.07,0.0009,0.3541,0.1275,0.0002,0.0143,0.0195,0.0182,0.0075,0.0062,0.0117,0.0042,0.0041,0.0017,0.0155,0.1394,0.0093,0.1575,0.0203,0.0023,0.0008,269.36,235.89,226.07,204.6,196.18,194.09,182.15,177.27,175.45,174.99,172.85,171,166.35,164.89,164,163.43,162.4,156.29,154.54,154.07,0.0009,0.3541,0.1275,0.0002,0.0143,0.0195,0.0182,0.0075,0.0062,0.0117,0.0042,0.0041,0.0017,0.0155,0.1394,0.0093,0.1574,0.0203,0.0023,0.0008, 
N#Cc1ccccn1,1438,284.04,0.002,407.93,0.0004,0.03342867,-2.181821198,4.33389597,104.112,0.95328,2.063768531,6,284.04,251.12,227.86,205.72,194.96,177.71,176.23,171.66,170.41,169.89,167.13,161.27,158.89,153.43,152.56,151.37,145.97,144.07,141.67,138.52,0.002,0.0031,0.0562,0.2058,0.0001,0.2257,0.0084,0.0903,0.0751,0,0.0003,0.2767,0,0.0039,0.1058,0.0008,0,0.0033,0.0979,0.0004,407.93,283.6,235.11,223.77,211.95,206.93,188.35,180.48,179.48,175.57,174.51,159.15,159.01,157.45,156.19,148.74,147.49,146.2,146.03,144.78,0.0004,0.0022,0.1174,0.1924,0.0507,0.0001,0.0001,0.0088,0.2635,0.008,0.0026,0.002,0.2955,0,0.0004,0.0056,0.1834,0.0011,0.0007,0.0278, 
Fc1cc(F)ccc1C(F)(F)F,66,225.54,0.0097,237.97,0.0134,0.106908001,-2.677486057,6.11267904,182.091,2.9836,1.846462157,5,225.54,195.4,172.62,169.07,154.8,154.34,151.69,151.02,147.34,146.22,145.68,145.51,143.97,142.41,141.03,139.53,137.95,136.9,132.47,132.05,0.0097,0.0464,0.4019,0.6336,0.0015,0.0003,0.0002,0,0.0002,0.0163,0.0005,0.0027,0.0028,0.034,0.001,0.001,0.001,0.0076,0.0002,0.0012,237.97,203.87,179.89,176.11,158.81,157.58,154.66,152.69,152.41,150.95,149.81,148.53,148.32,146.63,144.24,143.64,141.95,141.9,135.7,135.41,0.0134,0.0379,0.3954,0.6104,0.0006,0.0009,0,0.025,0,0.001,0,0.0012,0.0253,0.0013,0.0014,0.001,0.0083,0.0015,0.0173,0.0004, 
O=c1nncnn1CNC1CC1,1903,694.11,0.0043,694.11,0.0043,0.380204879,-3.194303103,3.03239384,167.172,-1.2572,3.247385,7,694.11,435.1,329.22,307.67,299.54,274.28,251.59,247.94,242.26,228.56,208.35,200.82,188.37,185.38,182.26,178.91,173.48,172.6,165.15,164.68,0.0043,0.0179,0.0552,0.0009,0.0037,0.0023,0.0001,0.0024,0.0004,0.0012,0.0056,0.0684,0.004,0.0325,0.0844,0.0039,0.0017,0.0226,0.0499,0.0648,694.11,435.1,329.22,307.67,299.54,274.28,251.59,247.94,242.26,228.56,208.35,200.82,188.37,185.38,182.26,178.91,173.48,172.6,165.15,164.68,0.0043,0.0179,0.0552,0.0009,0.0037,0.0023,0.0001,0.0024,0.0004,0.0012,0.0056,0.0684,0.004,0.0325,0.0844,0.0039,0.0017,0.0226,0.0499,0.0648, 
Fc1nn2ccccc2n1,1216,255.31,0.0548,327.65,0.0398,0.150007643,-2.442651466,4.29988222,137.117,0.8684,2.784744698,5,255.31,248.28,238.01,212.29,195.41,193.09,190.34,170.86,164.54,161.89,161.71,159.61,155.55,151.26,150.08,148.69,145.98,144.48,143.23,141.38,0.0548,0.006,0.0028,0.0043,0.2365,0.4872,0.0002,0.0016,0.0511,0.0007,0.1112,0.0015,0.0771,0.0007,0.1723,0,0.1079,0.0022,0.0101,0.0135,327.65,294.6,260.43,227.64,210.18,200.84,199.07,191.21,179.66,176.87,173.82,169.97,168.19,164.36,161.48,160.39,153.66,150.63,147.91,145.1,0.0398,0.0013,0.0089,0.0041,0.4441,0.0002,0.0001,0.0268,0.1285,0.065,0.0033,0.0018,0,0.0012,0.0001,0.1676,0.2251,0,0.0019,0.1242, 
OCc1ccccc1,768,222.74,0.0014,237.55,0.0018,0.036161278,-2.72106078,6.25009459,108.14,1.1789,1.140699635,4,222.74,201.66,194.74,190.63,167.95,167.44,161.63,160.17,153.77,152.67,151.82,144.87,143.89,143.72,142.21,141.76,139.35,136.3,134.96,129.21,0.0014,0.0343,0.0045,0.0096,0.5248,0.4837,0.0854,0.0167,0.0022,0.0042,0.0025,0.0046,0.003,0.0054,0.0078,0.0094,0.0021,0.0004,0.0067,0.0264,237.55,219.83,208.32,199.16,175.8,174.85,170.23,169.02,155.96,154.83,152.23,148.39,148.16,144.14,143.67,143.2,140.39,138.14,137.16,132.39,0.0018,0.038,0.0137,0.0038,0.5734,0.3847,0.0388,0.0556,0.0042,0.0044,0.0046,0.0011,0.0015,0.0068,0.0003,0.0016,0.0015,0.0057,0.0236,0.0068, 
